year,station_name,trips
2018,12 Ave & W 40 St,87352
2018,8 Ave & W 31 St,112614
2018,8 Ave & W 33 St,85724
2018,Broadway & E 14 St,167860
2018,Broadway & E 22 St,211032
2018,Broadway & W 60 St,57884
2018,Central Park S & 6 Ave,90878
2018,E 17 St & Broadway,217398
2018,E 47 St & Park Ave,8946
2018,Grand Army Plaza & Central Park S,55250
2018,Lafayette St & E 8 St,60304
2018,Pershing Square North,300440
2018,South End Ave & Liberty St,19086
2018,W 16 St & 8 Ave,22548
2018,W 20 St & 11 Ave,74596
2018,W 21 St & 6 Ave,214074
2018,W 22 St & 10 Ave,20142
2018,W 33 St & 7 Ave,22224
2018,W 38 St & 8 Ave,27506
2018,W 41 St & 8 Ave,92904
2018,West St & Chambers St,140226
2019,12 Ave & W 40 St,128382
2019,6 Ave & W 33 St,26256
2019,8 Ave & W 31 St,239876
2019,8 Ave & W 33 St,65322
2019,Broadway & E 14 St,205018
2019,Broadway & E 22 St,225962
2019,Broadway & W 25 St,20238
2019,Broadway & W 41 St,35744
2019,Broadway & W 60 St,146124
2019,Christopher St & Greenwich St,153754
2019,E 13 St & Avenue A,24422
2019,E 17 St & Broadway,243202
2019,E 47 St & Park Ave,22312
2019,Lafayette St & E 8 St,9670
2019,Pershing Square North,313106
2019,W 16 St & 8 Ave,32162
2019,W 20 St & 11 Ave,57568
2019,W 21 St & 6 Ave,192532
2019,W 31 St & 7 Ave,14750
2019,W 33 St & 7 Ave,21654
2019,W 41 St & 8 Ave,30506
2019,West St & Chambers St,150046
2020,1 Ave & E 68 St,142350
2020,12 Ave & W 125 St,14044
2020,12 Ave & W 40 St,161220
2020,5 Ave & E 73 St,14000
2020,6 Ave & W 33 St,25468
2020,8 Ave & W 31 St,40254
2020,8 Ave & W 33 St,24936
2020,Broadway & E 14 St,23922
2020,Broadway & E 22 St,37554
2020,Broadway & W 56 St,18100
2020,Broadway & W 60 St,136892
2020,Central Park North & Adam Clayton Powell Blvd,12960
2020,Central Park S & 6 Ave,37446
2020,Christopher St & Greenwich St,96920
2020,E 10 St & Avenue A,18712
2020,E 13 St & Avenue A,96216
2020,E 17 St & Broadway,83258
2020,E 33 St & 1 Ave,24224
2020,E 47 St & Park Ave,12380
2020,FDR Drive & E 35 St,37438
2020,Little West St & 1 Pl,5980
2020,Pershing Square North,53594
2020,Pier 40 - Hudson River Park,107940
2020,S 5 Pl & S 5 St,37388
2020,W 20 St & 11 Ave,10948
2020,W 21 St & 6 Ave,137534
2020,W 41 St & 8 Ave,34168
2020,West St & Chambers St,159460
2020,West St & Liberty St,75586
