year,station_name,trips,trips_in_thousands
2020,12 Ave & W 40 St,161220,161
2020,West St & Chambers St,159460,159
2020,1 Ave & E 68 St,142350,142
2020,W 21 St & 6 Ave,137534,138
2020,Broadway & W 60 St,136892,137
2020,Pier 40 - Hudson River Park,107940,108
2020,Christopher St & Greenwich St,96920,97
2020,E 13 St & Avenue A,96216,96
2020,E 17 St & Broadway,83258,83
2020,West St & Liberty St,75586,76
2020,Pershing Square North,53594,54
2020,8 Ave & W 31 St,40254,40
2020,Broadway & E 22 St,37554,38
2020,Central Park S & 6 Ave,37446,37
2020,FDR Drive & E 35 St,37438,37
2020,S 5 Pl & S 5 St,37388,37
2020,W 41 St & 8 Ave,34168,34
2020,6 Ave & W 33 St,25468,25
2020,8 Ave & W 33 St,24936,25
2020,Broadway & E 14 St,23922,24
2020,E 33 St & 1 Ave,24224,24
2020,E 10 St & Avenue A,18712,19
2020,Broadway & W 56 St,18100,18
2020,12 Ave & W 125 St,14044,14
2020,5 Ave & E 73 St,14000,14
2020,Central Park North & Adam Clayton Powell Blvd,12960,13
2020,E 47 St & Park Ave,12380,12
2020,W 20 St & 11 Ave,10948,11
2020,Little West St & 1 Pl,5980,6
