"usertype","year","gender","age_bin","total_trip_count"
"Customer","2018","0","<25","1456"
"Customer","2018","0","25-34","4332"
"Customer","2018","0","35-44","2237"
"Customer","2018","0","45-54","1169566"
"Customer","2018","0","55-64","273"
"Customer","2018","0","65+","58"
"Customer","2018","1","<25","105367"
"Customer","2018","1","25-34","210098"
"Customer","2018","1","35-44","87858"
"Customer","2018","1","45-54","48810"
"Customer","2018","1","55-64","17128"
"Customer","2018","1","65+","3181"
"Customer","2018","2","<25","65411"
"Customer","2018","2","25-34","135440"
"Customer","2018","2","35-44","43619"
"Customer","2018","2","45-54","24364"
"Customer","2018","2","55-64","9190"
"Customer","2018","2","65+","1085"
"Customer","2019","0","<25","4324"
"Customer","2019","0","25-34","10366"
"Customer","2019","0","35-44","4863"
"Customer","2019","0","45-54","1217970"
"Customer","2019","0","55-64","704"
"Customer","2019","0","65+","168"
"Customer","2019","1","<25","260644"
"Customer","2019","1","25-34","477761"
"Customer","2019","1","35-44","177414"
"Customer","2019","1","45-54","89377"
"Customer","2019","1","55-64","34412"
"Customer","2019","1","65+","5363"
"Customer","2019","2","<25","147950"
"Customer","2019","2","25-34","283366"
"Customer","2019","2","35-44","85858"
"Customer","2019","2","45-54","46640"
"Customer","2019","2","55-64","18516"
"Customer","2019","2","65+","2384"
"Customer","2020","0","<25","6005"
"Customer","2020","0","25-34","16735"
"Customer","2020","0","35-44","6189"
"Customer","2020","0","45-54","1613041"
"Customer","2020","0","55-64","595"
"Customer","2020","0","65+","145"
"Customer","2020","1","<25","332962"
"Customer","2020","1","25-34","738303"
"Customer","2020","1","35-44","216157"
"Customer","2020","1","45-54","69800"
"Customer","2020","1","55-64","27830"
"Customer","2020","1","65+","6558"
"Customer","2020","2","<25","229164"
"Customer","2020","2","25-34","555919"
"Customer","2020","2","35-44","123525"
"Customer","2020","2","45-54","40340"
"Customer","2020","2","55-64","16377"
"Customer","2020","2","65+","2761"
"Subscriber","2018","0","<25","7566"
"Subscriber","2018","0","25-34","37358"
"Subscriber","2018","0","35-44","30238"
"Subscriber","2018","0","45-54","220216"
"Subscriber","2018","0","55-64","5796"
"Subscriber","2018","0","65+","1688"
"Subscriber","2018","1","<25","830836"
"Subscriber","2018","1","25-34","4355764"
"Subscriber","2018","1","35-44","2880888"
"Subscriber","2018","1","45-54","1998655"
"Subscriber","2018","1","55-64","1134454"
"Subscriber","2018","1","65+","285787"
"Subscriber","2018","2","<25","314888"
"Subscriber","2018","2","25-34","1614811"
"Subscriber","2018","2","35-44","840861"
"Subscriber","2018","2","45-54","605561"
"Subscriber","2018","2","55-64","362826"
"Subscriber","2018","2","65+","72298"
"Subscriber","2019","0","<25","11349"
"Subscriber","2019","0","25-34","56058"
"Subscriber","2019","0","35-44","40659"
"Subscriber","2019","0","45-54","200957"
"Subscriber","2019","0","55-64","6623"
"Subscriber","2019","0","65+","2309"
"Subscriber","2019","1","<25","948690"
"Subscriber","2019","1","25-34","4903951"
"Subscriber","2019","1","35-44","3252626"
"Subscriber","2019","1","45-54","2209986"
"Subscriber","2019","1","55-64","1323265"
"Subscriber","2019","1","65+","359942"
"Subscriber","2019","2","<25","344879"
"Subscriber","2019","2","25-34","1837703"
"Subscriber","2019","2","35-44","949002"
"Subscriber","2019","2","45-54","697342"
"Subscriber","2019","2","55-64","421681"
"Subscriber","2019","2","65+","100329"
"Subscriber","2020","0","<25","8664"
"Subscriber","2020","0","25-34","55181"
"Subscriber","2020","0","35-44","33634"
"Subscriber","2020","0","45-54","125010"
"Subscriber","2020","0","55-64","8172"
"Subscriber","2020","0","65+","1972"
"Subscriber","2020","1","<25","559228"
"Subscriber","2020","1","25-34","3309453"
"Subscriber","2020","1","35-44","2152467"
"Subscriber","2020","1","45-54","1402539"
"Subscriber","2020","1","55-64","923062"
"Subscriber","2020","1","65+","290632"
"Subscriber","2020","2","<25","263099"
"Subscriber","2020","2","25-34","1684624"
"Subscriber","2020","2","35-44","814234"
"Subscriber","2020","2","45-54","563052"
"Subscriber","2020","2","55-64","363293"
"Subscriber","2020","2","65+","103907"
